archetype,category,attribute,base_stat,cap_stat,cost_tier
Maestro,Defending,Barridas,58,78,Expensive
Maestro,Physical,Salto,65,84,Expensive
Maestro,Physical,Resistencia,78,96,Cheapest
Maestro,Physical,Fuerza,68,88,Cheap
Maestro,Physical,Agresividad,70,88,Cheap
Disruptor,Pace,Aceleracion,72,90,Expensive
Disruptor,Pace,Sprint,74,92,Expensive
Disruptor,Scoring,Posicionamiento,60,78,Most Expensive
Disruptor,Scoring,Definicion,58,76,Most Expensive
Disruptor,Scoring,Potencia Tiro,72,88,Cheap
Disruptor,Scoring,Tiros Lejanos,64,82,Expensive
Disruptor,Scoring,Voleas,58,75,Most Expensive
Disruptor,Scoring,Penales,60,78,Most Expensive
Disruptor,Passing,Vision,68,86,Expensive
Disruptor,Passing,Centros,62,80,Expensive
Disruptor,Passing,Precision Faltas,60,78,Expensive
Disruptor,Passing,Pase Corto,76,94,Cheap
Disruptor,Passing,Pase Largo,72,90,Cheap
Disruptor,Passing,Efecto,62,80,Expensive
Disruptor,Ball Control,Agilidad,70,88,Cheap
Disruptor,Ball Control,Balance,72,90,Cheap
Disruptor,Ball Control,Reacciones,78,96,Cheap
Disruptor,Ball Control,Control Balon,74,92,Cheap
Disruptor,Ball Control,Regates,68,86,Expensive
Disruptor,Ball Control,Compostura,76,94,Cheap
Disruptor,Defending,Intercepciones,80,98,Cheapest
Disruptor,Defending,Precision Cabeza,72,90,Cheap
Disruptor,Defending,Percepcion Defensiva,78,96,Cheapest
Disruptor,Defending,Robos,82,99,Cheapest
Disruptor,Defending,Barridas,80,98,Cheapest
Disruptor,Physical,Salto,74,92,Cheap
Disruptor,Physical,Resistencia,84,99,Cheapest
Disruptor,Physical,Fuerza,80,98,Cheapest
Disruptor,Physical,Agresividad,84,99,Cheapest
Recycler,Pace,Aceleracion,72,90,Expensive
Recycler,Pace,Sprint,72,90,Expensive
Recycler,Scoring,Posicionamiento,62,80,Most Expensive
Recycler,Scoring,Definicion,56,75,Most Expensive
Recycler,Scoring,Potencia Tiro,68,85,Expensive
Recycler,Scoring,Tiros Lejanos,62,80,Expensive
Recycler,Scoring,Voleas,56,74,Most Expensive
Recycler,Scoring,Penales,60,78,Most Expensive
Recycler,Passing,Vision,76,94,Cheap
Recycler,Passing,Centros,66,84,Expensive
Recycler,Passing,Precision Faltas,62,80,Expensive
Recycler,Passing,Pase Corto,82,99,Cheapest
Recycler,Passing,Pase Largo,78,96,Cheapest
Recycler,Passing,Efecto,66,84,Expensive
Recycler,Ball Control,Agilidad,74,92,Cheap
Recycler,Ball Control,Balance,76,94,Cheap
Recycler,Ball Control,Reacciones,80,98,Cheapest
Recycler,Ball Control,Control Balon,80,98,Cheapest
Recycler,Ball Control,Regates,74,92,Cheap
Recycler,Ball Control,Compostura,80,98,Cheapest
Recycler,Defending,Intercepciones,84,99,Cheapest
Recycler,Defending,Precision Cabeza,68,86,Cheap
Recycler,Defending,Percepcion Defensiva,82,99,Cheapest
Recycler,Defending,Robos,80,98,Cheapest
Recycler,Defending,Barridas,76,94,Cheap
Recycler,Physical,Salto,70,88,Expensive
Recycler,Physical,Resistencia,84,99,Cheapest
Recycler,Physical,Fuerza,74,94,Cheap
Recycler,Physical,Agresividad,76,95,Cheap
Boss,Pace,Aceleracion,66,88,Expensive
Boss,Pace,Sprint,72,92,Expensive
Boss,Scoring,Posicionamiento,50,68,Most Expensive
Boss,Scoring,Definicion,45,65,Most Expensive
Boss,Scoring,Potencia Tiro,65,85,Expensive
Boss,Scoring,Tiros Lejanos,50,70,Most Expensive
Boss,Scoring,Voleas,48,68,Most Expensive
Boss,Scoring,Penales,52,70,Most Expensive
Boss,Passing,Vision,58,78,Expensive
Boss,Passing,Centros,48,68,Most Expensive
Boss,Passing,Precision Faltas,50,70,Most Expensive
Boss,Passing,Pase Corto,70,88,Cheap
Boss,Passing,Pase Largo,66,85,Expensive
Boss,Passing,Efecto,52,72,Most Expensive
Boss,Ball Control,Agilidad,58,78,Most Expensive
Boss,Ball Control,Balance,60,80,Expensive
Boss,Ball Control,Reacciones,76,96,Cheap
Boss,Ball Control,Control Balon,68,88,Cheap
Boss,Ball Control,Regates,58,78,Most Expensive
Boss,Ball Control,Compostura,76,96,Cheap
Boss,Defending,Intercepciones,82,99,Cheapest
Boss,Defending,Precision Cabeza,82,99,Cheapest
Boss,Defending,Percepcion Defensiva,84,99,Cheapest
Boss,Defending,Robos,84,99,Cheapest
Boss,Defending,Barridas,82,99,Cheapest
Boss,Physical,Salto,78,98,Cheapest
Boss,Physical,Resistencia,76,94,Cheap
Boss,Physical,Fuerza,84,99,Cheapest
Boss,Physical,Agresividad,84,99,Cheapest
Progressor,Pace,Aceleracion,70,90,Expensive
Progressor,Pace,Sprint,74,94,Expensive
Progressor,Scoring,Posicionamiento,52,70,Most Expensive
Progressor,Scoring,Definicion,48,68,Most Expensive
Progressor,Scoring,Potencia Tiro,66,86,Expensive
Progressor,Scoring,Tiros Lejanos,54,74,Most Expensive
Progressor,Scoring,Voleas,50,70,Most Expensive
Progressor,Scoring,Penales,54,72,Most Expensive
Progressor,Passing,Vision,68,88,Cheap
Progressor,Passing,Centros,58,78,Expensive
Progressor,Passing,Precision Faltas,56,76,Expensive
Progressor,Passing,Pase Corto,76,94,Cheapest
Progressor,Passing,Pase Largo,78,96,Cheapest
Progressor,Passing,Efecto,60,80,Expensive
Progressor,Ball Control,Agilidad,64,84,Expensive
Progressor,Ball Control,Balance,66,86,Expensive
Progressor,Ball Control,Reacciones,78,96,Cheap
Progressor,Ball Control,Control Balon,74,92,Cheap
Progressor,Ball Control,Regates,66,85,Expensive
Progressor,Ball Control,Compostura,80,98,Cheapest
Progressor,Defending,Intercepciones,82,99,Cheapest
Progressor,Defending,Precision Cabeza,78,96,Cheapest
Progressor,Defending,Percepcion Defensiva,82,99,Cheapest
Progressor,Defending,Robos,82,99,Cheapest
Progressor,Defending,Barridas,78,96,Cheapest
Progressor,Physical,Salto,74,94,Cheap
Progressor,Physical,Resistencia,78,96,Cheap
Progressor,Physical,Fuerza,76,95,Cheap
Progressor,Physical,Agresividad,76,95,Cheap
Marauder,Pace,Aceleracion,80,96,Expensive
Marauder,Pace,Sprint,82,97,Expensive
Marauder,Scoring,Posicionamiento,62,80,Most Expensive
Marauder,Scoring,Definicion,55,75,Most Expensive
Marauder,Scoring,Potencia Tiro,68,86,Expensive
Marauder,Scoring,Tiros Lejanos,60,80,Expensive
Marauder,Scoring,Voleas,56,75,Most Expensive
Marauder,Scoring,Penales,58,76,Most Expensive
Marauder,Passing,Vision,70,88,Cheap
Marauder,Passing,Centros,78,96,Cheapest
Marauder,Passing,Precision Faltas,60,80,Expensive
Marauder,Passing,Pase Corto,76,94,Cheap
Marauder,Passing,Pase Largo,72,90,Cheap
Marauder,Passing,Efecto,70,88,Cheap
Marauder,Ball Control,Agilidad,76,94,Cheap
Marauder,Ball Control,Balance,74,92,Cheap
Marauder,Ball Control,Reacciones,76,95,Cheap
Marauder,Ball Control,Control Balon,76,94,Cheap
Marauder,Ball Control,Regates,74,92,Cheap
Marauder,Ball Control,Compostura,74,92,Cheap
Marauder,Defending,Intercepciones,76,95,Cheapest
Marauder,Defending,Precision Cabeza,68,86,Expensive
Marauder,Defending,Percepcion Defensiva,76,95,Cheapest
Marauder,Defending,Robos,78,96,Cheapest
Marauder,Defending,Barridas,80,98,Cheapest
Marauder,Physical,Salto,72,90,Expensive
Marauder,Physical,Resistencia,84,99,Cheapest
Marauder,Physical,Fuerza,72,92,Cheap
Marauder,Physical,Agresividad,78,96,Cheapest
Shot Stopper,Goalkeeping,GK_Estirada,78,98,Cheapest
Shot Stopper,Goalkeeping,GK_Paradas,76,96,Cheapest
Shot Stopper,Goalkeeping,GK_Saque,68,88,Expensive
Shot Stopper,Goalkeeping,GK_Reflejos,82,99,Cheapest
Shot Stopper,Goalkeeping,GK_Colocacion,78,98,Cheapest
Shot Stopper,Physical,Reacciones,78,98,Cheapest
Shot Stopper,Physical,Salto,75,95,Cheap
Shot Stopper,Physical,Resistencia,65,85,Expensive
Shot Stopper,Physical,Fuerza,70,90,Cheap
Shot Stopper,Physical,Sprint,60,80,Expensive
Shot Stopper,Physical,Aceleracion,60,80,Expensive
Sweeper Keeper,Goalkeeping,GK_Estirada,76,96,Cheapest
Sweeper Keeper,Goalkeeping,GK_Paradas,74,94,Cheapest
Sweeper Keeper,Goalkeeping,GK_Saque,78,98,Cheapest
Sweeper Keeper,Goalkeeping,GK_Reflejos,78,96,Cheapest
Sweeper Keeper,Goalkeeping,GK_Colocacion,76,96,Cheapest
Sweeper Keeper,Physical,Reacciones,76,96,Cheapest
Sweeper Keeper,Passing,Pase Corto,72,92,Cheapest
Sweeper Keeper,Passing,Pase Largo,75,95,Cheapest
Sweeper Keeper,Physical,Salto,72,92,Cheap
Sweeper Keeper,Physical,Resistencia,68,88,Expensive
Sweeper Keeper,Physical,Aceleracion,65,85,Expensive
Sweeper Keeper,Physical,Sprint,65,85,Expensive
